iter	Passed	Remaining
414	765	1078
415	766	1076
416	768	1074
417	770	1072
418	771	1070
419	773	1068
420	775	1066
421	777	1064
422	779	1062
423	780	1060
424	782	1058
425	784	1056
426	786	1055
427	788	1053
428	790	1051
429	792	1049
430	793	1047
431	795	1045
432	797	1043
433	798	1041
434	800	1039
435	802	1037
436	804	1036
437	805	1034
438	807	1031
439	809	1030
440	811	1028
441	813	1026
442	814	1024
443	816	1022
444	818	1020
445	820	1018
446	821	1016
447	823	1014
448	825	1012
449	827	1010
450	828	1008
451	830	1006
452	832	1004
453	833	1002
454	835	1000
455	837	998
456	839	997
457	840	995
458	842	993
459	844	991
460	846	989
461	848	987
462	849	985
463	851	983
464	853	981
465	854	979
466	856	977
467	858	975
468	860	973
469	861	971
470	863	969
471	865	968
472	867	966
473	868	963
474	870	962
475	872	960
476	874	958
477	875	956
478	877	954
479	879	952
480	881	950
481	883	948
482	884	947
483	886	945
484	888	943
485	889	941
486	891	939
487	893	937
488	895	935
489	897	933
490	898	931
491	900	929
492	902	927
493	903	925
494	905	924
495	907	922
496	909	920
497	910	918
498	912	916
499	914	914
500	916	912
501	917	910
502	919	908
503	921	906
504	923	904
505	925	903
506	926	901
507	928	899
508	930	897
509	932	895
510	933	893
511	935	891
512	937	890
513	939	888
514	940	886
515	942	884
516	944	882
517	946	880
518	947	878
519	949	876
520	951	874
521	952	872
522	954	870
523	956	868
524	958	867
525	960	865
526	961	863
527	963	861
528	965	859
529	967	858
530	969	856
531	971	854
532	972	852
533	974	850
534	976	848
535	978	846
536	980	845
537	982	843
538	984	841
539	985	839
540	987	837
541	989	835
542	991	834
543	993	832
544	995	831
545	997	829
546	999	827
547	1001	825
548	1003	823
549	1005	822
550	1006	820
551	1008	818
552	1010	817
553	1012	815
554	1014	813
555	1015	811
556	1017	809
557	1019	807
558	1021	805
559	1023	804
560	1025	802
561	1026	800
562	1028	798
563	1030	796
564	1032	794
565	1033	792
566	1035	790
567	1037	788
568	1039	787
569	1040	785
570	1042	783
571	1044	781
572	1046	779
573	1047	777
574	1049	775
575	1051	773
576	1053	772
577	1054	770
578	1056	768
579	1058	766
580	1060	764
581	1062	762
582	1064	761
583	1065	759
584	1067	757
585	1069	755
586	1071	753
587	1072	751
588	1074	749
589	1076	748
590	1078	746
591	1080	744
592	1082	742
593	1083	740
594	1085	739
595	1087	737
596	1089	735
597	1091	733
598	1092	731
599	1094	729
600	1096	727
601	1098	726
602	1099	724
603	1101	722
604	1103	720
605	1105	718
606	1106	716
607	1108	714
608	1110	713
609	1112	711
610	1114	709
611	1116	707
612	1117	705
613	1119	703
614	1121	702
615	1123	700
616	1125	698
617	1126	696
618	1128	694
619	1130	692
620	1132	691
621	1133	689
622	1135	687
623	1137	685
624	1139	683
625	1140	681
626	1142	679
627	1144	677
628	1146	676
629	1147	674
630	1150	672
631	1151	670
632	1153	668
633	1155	666
634	1157	665
635	1159	663
636	1161	661
637	1162	659
638	1164	657
639	1166	656
640	1168	654
641	1169	652
642	1171	650
643	1173	648
644	1175	647
645	1177	645
646	1179	643
647	1180	641
648	1182	639
649	1184	637
650	1186	635
651	1187	634
652	1189	632
653	1191	630
654	1193	628
655	1194	626
656	1196	624
657	1198	622
658	1200	620
659	1201	619
660	1203	617
661	1205	615
662	1206	613
663	1208	611
664	1210	609
665	1212	607
666	1214	606
667	1215	604
668	1217	602
669	1219	600
670	1220	598
671	1222	596
672	1224	595
673	1226	593
674	1227	591
675	1229	589
676	1231	587
677	1233	585
678	1234	583
679	1236	581
680	1238	579
681	1239	578
682	1241	576
683	1243	574
684	1245	572
685	1247	570
686	1249	569
687	1251	567
688	1252	565
689	1254	563
690	1256	561
691	1258	560
692	1260	558
693	1261	556
694	1263	554
695	1265	552
696	1267	550
697	1268	549
698	1270	547
699	1272	545
700	1274	543
701	1275	541
702	1277	539
703	1279	537
704	1280	535
705	1282	534
706	1284	532
707	1286	530
708	1287	528
709	1289	526
710	1291	524
711	1293	523
712	1294	521
713	1296	519
714	1298	517
715	1300	515
716	1301	513
717	1303	512
718	1305	510
719	1307	508
720	1308	506
721	1310	504
722	1312	502
723	1313	500
724	1315	499
725	1317	497
726	1319	495
727	1321	493
728	1323	491
729	1324	490
730	1326	488
731	1328	486
732	1330	484
733	1331	482
734	1333	480
735	1335	479
736	1337	477
737	1338	475
738	1340	473
739	1342	471
740	1344	469
741	1345	467
742	1347	466
743	1349	464
744	1351	462
745	1353	460
746	1354	458
747	1356	457
748	1358	455
749	1360	453
750	1362	451
751	1363	449
752	1365	447
753	1367	446
754	1369	444
755	1371	442
756	1373	440
757	1375	439
758	1376	437
759	1378	435
760	1380	433
761	1382	431
762	1384	429
763	1385	428
764	1387	426
765	1389	424
766	1390	422
767	1392	420
768	1394	418
769	1396	417
770	1397	415
771	1399	413
772	1401	411
773	1403	409
774	1405	407
775	1406	406
776	1408	404
777	1410	402
778	1412	400
779	1414	398
780	1416	397
781	1417	395
782	1419	393
783	1421	391
784	1423	389
785	1424	387
786	1426	386
787	1428	384
788	1430	382
789	1431	380
790	1433	378
791	1435	376
792	1437	375
793	1438	373
794	1440	371
795	1442	369
796	1444	367
797	1445	366
798	1447	364
799	1449	362
800	1451	360
801	1452	358
802	1455	357
803	1457	355
804	1458	353
805	1460	351
806	1462	349
807	1464	347
808	1465	346
809	1467	344
810	1469	342
811	1471	340
812	1472	338
813	1474	336
814	1476	335
815	1478	333
816	1479	331
817	1481	329
818	1483	327
819	1485	325
820	1486	324
821	1488	322
822	1490	320
823	1492	318
824	1493	316
825	1495	315
826	1497	313
827	1498	311
828	1500	309
829	1502	307
830	1504	305
831	1505	304
832	1507	302
833	1509	300
834	1511	298
835	1512	296
836	1514	294
837	1516	293
838	1517	291
839	1519	289
840	1521	287
841	1523	285
842	1524	283
843	1526	282
844	1528	280
845	1530	278
846	1531	276
847	1533	274
848	1535	273
849	1537	271
850	1539	269
851	1541	267
852	1542	265
853	1544	264
854	1546	262
855	1548	260
856	1550	258
857	1552	256
858	1553	255
859	1555	253
860	1557	251
861	1559	249
862	1561	247
863	1562	246
864	1564	244
865	1566	242
866	1568	240
867	1569	238
868	1571	236
869	1573	235
870	1575	233
871	1577	231
872	1579	229
873	1581	228
874	1584	226
875	1586	224
876	1588	222
877	1590	220
878	1592	219
879	1594	217
880	1596	215
881	1598	213
882	1600	212
883	1602	210
884	1604	208
885	1606	206
886	1607	204
887	1609	203
888	1611	201
889	1613	199
890	1615	197
891	1617	195
892	1619	194
893	1621	192
894	1623	190
895	1625	188
896	1627	186
897	1630	185
898	1632	183
899	1634	181
900	1636	179
901	1638	178
902	1640	176
903	1642	174
904	1644	172
905	1646	170
906	1649	169
907	1651	167
908	1653	165
909	1655	163
910	1657	161
911	1659	160
912	1661	158
913	1663	156
914	1665	154
915	1667	152
916	1670	151
917	1672	149
918	1674	147
919	1676	145
920	1677	143
921	1679	142
922	1681	140
923	1684	138
924	1686	136
925	1688	134
926	1690	133
927	1692	131
928	1694	129
929	1696	127
930	1698	125
931	1700	124
932	1702	122
933	1704	120
934	1706	118
935	1708	116
936	1710	115
937	1712	113
938	1714	111
939	1716	109
940	1718	107
941	1720	105
942	1722	104
943	1724	102
944	1726	100
945	1728	98
946	1730	96
947	1732	95
948	1734	93
949	1735	91
950	1737	89
951	1739	87
952	1741	85
953	1743	84
954	1745	82
955	1746	80
956	1748	78
957	1750	76
958	1752	74
959	1754	73
960	1756	71
961	1758	69
962	1759	67
963	1761	65
964	1763	63
965	1765	62
966	1767	60
967	1769	58
968	1772	56
969	1774	54
970	1777	53
971	1780	51
972	1782	49
973	1784	47
974	1787	45
975	1789	43
976	1791	42
977	1793	40
978	1794	38
979	1797	36
980	1799	34
981	1801	33
982	1803	31
983	1804	29
984	1806	27
985	1808	25
986	1810	23
987	1811	22
988	1813	20
989	1815	18
990	1817	16
991	1818	14
992	1820	12
993	1822	10
994	1824	9
995	1825	7
996	1827	5
997	1829	3
998	1831	1
999	1832	0
